osm_id,man_made,tower_type,telecom,communication_mobile_phone,name,geometry
628928769,,,,,,"LINESTRING (120.8564503 14.2930188, 120.8566461 14.2932112, 120.8568379 14.2934074, 120.8570391 14.2936075, 120.8572604 14.2938376, 120.857487 14.2940572, 120.8577043 14.2942768, 120.8579256 14.2945016, 120.8582233 14.2947953, 120.8584794 14.2947161, 120.8585465 14.2949279, 120.8586806 14.2950666, 120.8588731 14.2952663, 120.8590712 14.2954571, 120.8592516 14.295649, 120.8594491 14.2958402, 120.8596355 14.2960235, 120.859783 14.2961677, 120.8600338 14.2964198, 120.8602457 14.2966459, 120.8605032 14.2969033)"
1124387841,,,,,,"LINESTRING (120.8582233 14.2947953, 120.8582273 14.2949435, 120.8579859 14.2951839, 120.8578961 14.2953841, 120.857715 14.2954334, 120.8574522 14.2956895)"
1124387839,,,,,,"LINESTRING (120.8596355 14.2960235, 120.8592801 14.2962977, 120.8590722 14.2964913, 120.8587986 14.296759)"
1124387855,,,,,,"LINESTRING (120.85628 14.297388, 120.856213 14.2977649, 120.8560078 14.2984439, 120.85582 14.2987915, 120.8558066 14.2990241)"
1124387856,,,,,,"LINESTRING (120.8555089 14.2990241, 120.8558066 14.2990241, 120.8559541 14.2991034, 120.8562963 14.2990953, 120.8566488 14.2990099, 120.8570029 14.2990254, 120.857373 14.2991125, 120.8577157 14.2991931)"
1124387847,,,,,,"LINESTRING (120.8559541 14.2991034, 120.8558844 14.2993295)"
,tower,communication,,,Smart Cellsite,"POLYGON ((120.8187288 14.3013817, 120.8186885 14.3012531, 120.818577 14.3012587, 120.8186128 14.3013858, 120.8187288 14.3013817))"
9673368448,tower,communication,,,,POINT (120.81850960000001 14.301346)
,tower,communication,,,,"POLYGON ((120.818356 14.3014355, 120.8183575 14.3013226, 120.8182411 14.3013211, 120.8182396 14.301434, 120.818356 14.3014355))"
421004934,tower,communication,,,,"LINESTRING (120.8639698 14.3060483, 120.8640728 14.306083, 120.8641144 14.305967, 120.8640113 14.3059323, 120.8639698 14.3060483)"
9199655792,tower,communication,,,,POINT (120.87933760000001 14.3158632)
9199610821,tower,communication,,,,POINT (120.87869930000001 14.3164934)
9027544102,tower,communication,,,,POINT (120.7714806 14.318580800000001)
,tower,communication,,,,"POLYGON ((120.7715781 14.3186829, 120.7715902 14.3184927, 120.7713854 14.3184806, 120.7713734 14.3186707, 120.7715781 14.3186829))"
8184331354,tower,communication,,,,POINT (120.8488825 14.327365700000001)
,tower,communication,,,,"POLYGON ((120.859824 14.3316885, 120.8598273 14.3316037, 120.8597193 14.3315998, 120.8597161 14.3316846, 120.859824 14.3316885))"
9027597024,tower,communication,,,Smart Cellsite,POINT (120.8597708 14.331645000000002)
9027602876,tower,communication,,,Smart Cellsite,POINT (120.86053790000001 14.345137200000002)
,tower,communication,,,,"POLYGON ((120.8604849 14.34518, 120.860591 14.3451793, 120.8605904 14.3450957, 120.8604843 14.3450964, 120.8604849 14.34518))"
11018079500,tower,communication,,,,POINT (120.8807096 14.3509536)
11049220727,tower,communication,,,,POINT (120.88239960000001 14.353662100000001)
10143083943,tower,communication,,,,POINT (120.87941140000001 14.3627116)
10143083942,tower,communication,,,,POINT (120.87978820000001 14.3632339)
,tower,communication,,,,"POLYGON ((120.8546733 14.3698434, 120.8547433 14.3698391, 120.854739 14.369774, 120.854669 14.3697784, 120.8546733 14.3698434))"
9027608760,tower,communication,,,,POINT (120.85470430000001 14.369809)
9883261352,mast,communication,,yes,,POINT (120.85081960000001 14.380929400000001)
12182440374,tower,communication,,,,POINT (120.8596796 14.404944700000001)
1177920744,tower,communication,,,,"LINESTRING (120.87583 14.4263861, 120.8758642 14.4262991, 120.8759493 14.4263225, 120.8759158 14.4264108, 120.87583 14.4263861)"
13019585575,tower,communication,,,,POINT (120.8808893 14.4345166)
13019585574,tower,communication,,,,POINT (120.882563 14.4351789)
5458652538,tower,communication,,,S1087 Sun Indang Alulod,POINT (120.88918070000001 14.2134215)
421935630,tower,communication,,,,"LINESTRING (120.8884796 14.2698658, 120.8885213 14.2698687, 120.8885235 14.2698374, 120.8884818 14.2698345, 120.8884796 14.2698658)"
1180048142,tower,communication,,,,"LINESTRING (120.8919994 14.410425, 120.8919348 14.4103632, 120.8919944 14.4103047, 120.892059 14.4103665, 120.8919994 14.410425)"
9027639876,tower,communication,,,,POINT (120.8892967 14.4259745)
,tower,communication,,,,"POLYGON ((120.8892957 14.4261419, 120.8893649 14.425976, 120.8891909 14.4259079, 120.8891217 14.4260738, 120.8892957 14.4261419))"
1017824832,tower,communication,,,,"LINESTRING (120.883345 14.4633199, 120.883301 14.4632373, 120.8833949 14.4631904, 120.8834389 14.463273, 120.883345 14.4633199)"
290509884,communications_tower,communication,,,,"LINESTRING (120.8898462 14.4762993, 120.8898218 14.4763531, 120.8898666 14.4763721, 120.889891 14.4763183, 120.8898462 14.4762993)"
1174767384,communications_tower,communication,,,,"LINESTRING (120.8923122 14.7716329, 120.8922372 14.7715436, 120.8923373 14.7714651, 120.8924123 14.7715544, 120.8923122 14.7716329)"
1174767385,communications_tower,communication,,,,"LINESTRING (120.8922969 14.7716523, 120.8921622 14.7717563, 120.8920789 14.7716555, 120.8922137 14.7715515, 120.8922969 14.7716523)"
1111590391,tower,communication,,,,"LINESTRING (120.883524 14.8116664, 120.8835384 14.8115468, 120.8836639 14.8115609, 120.8836495 14.8116805, 120.883524 14.8116664)"
,tower,communication,,,,"POLYGON ((120.7591963 14.0810301, 120.7592602 14.0808888, 120.7591194 14.0808289, 120.7590555 14.0809703, 120.7591963 14.0810301))"
13015276948,tower,communication,,,,POINT (120.73100810000001 14.279533200000001)
788806210,communications_tower,communication,,,,"LINESTRING (120.7370122 14.9406573, 120.7370581 14.9406828, 120.7370874 14.9406335, 120.7370415 14.9406081, 120.7370122 14.9406573)"
1117427348,communications_tower,communication,,,,"LINESTRING (120.7587634 14.9458128, 120.758748 14.9457174, 120.7588557 14.9457012, 120.7588711 14.9457966, 120.7587634 14.9458128)"
