osm_id,pipeline,man_made,amenity,name,geometry
,,,fuel,Petron,"POLYGON ((120.5480923 14.6727906, 120.5477114 14.6725129, 120.5474807 14.6727516, 120.5478073 14.6730577, 120.5480923 14.6727906))"
,,,fuel,Green Oil,"POLYGON ((120.5519372 14.6877381, 120.5517365 14.6876573, 120.5516569 14.6878421, 120.5518576 14.6879229, 120.5519372 14.6877381))"
,,,fuel,Galaxi,"POLYGON ((120.5577522 14.9076781, 120.5577901 14.9076309, 120.5577184 14.9075771, 120.5576804 14.9076244, 120.5577522 14.9076781))"
,,,fuel,Cleantech,"POLYGON ((120.5591386 14.9087433, 120.5592507 14.9085846, 120.5591894 14.9085442, 120.5590773 14.9087028, 120.5591386 14.9087433))"
,,,fuel,RePhil,"POLYGON ((120.5614134 14.9102642, 120.5614733 14.9102914, 120.5616084 14.9100318, 120.5614678 14.9099378, 120.5613797 14.9100522, 120.5614134 14.9102642))"
,,,fuel,RBP Petrostar Fuels,"POLYGON ((120.5676936 14.9137797, 120.567903 14.913497, 120.5677917 14.9134147, 120.5677582 14.9134665, 120.5677022 14.9134327, 120.5675404 14.9136829, 120.5676936 14.9137797))"
,,,fuel,Caltex,"POLYGON ((120.577334 14.9204594, 120.5776193 14.9202548, 120.5772612 14.920017, 120.5769672 14.9202196, 120.577334 14.9204594))"
,,,fuel,Rayfill,"POLYGON ((120.5833829 14.9242625, 120.5837677 14.9245328, 120.5839014 14.924404, 120.5839514 14.9243048, 120.5835395 14.9240585, 120.5833829 14.9242625))"
,,,fuel,PTT Gasoline Station,"POLYGON ((120.5872491 14.9264377, 120.587207 14.9264456, 120.5871989 14.9264737, 120.5875325 14.9268101, 120.5876876 14.9269936, 120.5878624 14.9271613, 120.588039 14.9273726, 120.5882354 14.9272194, 120.5883765 14.9273507, 120.5885239 14.9272177, 120.5881259 14.9269473, 120.5872491 14.9264377))"
,,,fuel,Phoenix,"POLYGON ((120.5920375 14.941389, 120.5925963 14.9411955, 120.5924727 14.9407419, 120.5918211 14.9410052, 120.5920375 14.941389))"
4266811989,,,fuel,Shell,POINT (120.72620040000001 14.818965)
5125502825,,,fuel,Lucas Oil,POINT (120.72564440000001 14.820827300000001)
255052619,,,fuel,Shell,POINT (120.72599220000001 14.8227021)
