osm_id,railway,name,gauge,electrified,voltage,geometry
2712378142,station,Santa Rosa,,,,POINT (121.1098037 14.3061909)
,platform,,,,,"POLYGON ((121.1094142 14.306455, 121.1094397 14.3064819, 121.1098942 14.3060784, 121.1098641 14.306047, 121.1097214 14.306175, 121.1094142 14.306455))"
,platform,,,,,"POLYGON ((121.1091035 14.3067335, 121.1091291 14.3067604, 121.1094397 14.3064819, 121.1094142 14.306455, 121.1091035 14.3067335))"
7560561049,switch,,,,,POINT (121.1051982 14.310182000000001)
7560561054,switch,,,,,POINT (121.10472960000001 14.310546200000001)
7560561056,switch,,,,,POINT (121.1045924 14.310667)
7560561060,switch,,,,,POINT (121.1041596 14.3110963)
7560561068,switch,,,,,POINT (121.1039992 14.311189100000002)
7560561069,switch,,,,,POINT (121.1040224 14.3112171)
4369804667,switch,,,,,POINT (121.1004611 14.311352000000001)
5532701658,switch,,,,,POINT (121.1455317 14.226210600000002)
7455342901,switch,,,,,POINT (121.1464631 14.230432)
,station,Mamatid,,,,"POLYGON ((121.1456029 14.2322521, 121.1455499 14.2323776, 121.1456037 14.2323977, 121.1456555 14.2322724, 121.1456029 14.2322521))"
2972415211,stop,Mamatid,,,,POINT (121.1456703 14.232383)
,platform,,,,,"POLYGON ((121.1457139 14.2321314, 121.1456555 14.2322724, 121.1456037 14.2323977, 121.1452964 14.2331405, 121.145331 14.2331538, 121.1457485 14.2321447, 121.1457139 14.2321314))"
2960407927,station,Cabuyao,,,,POINT (121.1262966 14.2799323)
4989195464,station,Cabuyao,,,,POINT (121.12615670000001 14.279956700000001)
509728543,platform,,,,,"LINESTRING (121.1262789 14.2798207, 121.1262626 14.2798613, 121.1258809 14.2808113)"
10716084284,switch,,,,,POINT (121.17106140000001 14.620931100000002)
10716073883,switch,,,,,POINT (121.17104180000001 14.6209719)
140483261,platform,,,,,"LINESTRING (121.0815554 14.3310216, 121.0814556 14.3311099, 121.0811712 14.3313616)"
6840337293,station,Biñan,,,,POINT (121.08119250000001 14.331384300000002)
145894801,platform,,,,,"LINESTRING (121.0807345 14.3317481, 121.0811712 14.3313616)"
2712402194,station,Golden City 1,,,,POINT (121.0750031 14.336840700000002)
360212096,station,Pacita Main Gate,,,,POINT (121.0636556 14.3468628)
,platform,,,,,"POLYGON ((121.0639353 14.3466076, 121.0636704 14.3468762, 121.0635792 14.3469883, 121.0634276 14.3471774, 121.0634503 14.3471928, 121.0635972 14.3470071, 121.0636882 14.3469016, 121.0639481 14.3466235, 121.0639353 14.3466076))"
5527660159,switch,,,,,POINT (121.05567620000001 14.3611084)
,station,San Pedro,,,,"POLYGON ((121.055361 14.3615396, 121.0553767 14.3615478, 121.0554092 14.3614898, 121.0553924 14.3614809, 121.0553782 14.3614735, 121.0553554 14.3614615, 121.0553229 14.3615195, 121.055361 14.3615396))"
,platform,,,,,"POLYGON ((121.055193 14.3619386, 121.0554783 14.3614289, 121.0554512 14.3614146, 121.0554092 14.3614898, 121.0553767 14.3615478, 121.0553425 14.3616089, 121.0553123 14.3616628, 121.0551659 14.3619243, 121.0549193 14.362365, 121.0549463 14.3623792, 121.055193 14.3619386))"
11328530233,stop,Shaw Boulevard,,,,POINT (121.05353600000001 14.5810182)
12546032502,switch,,,,,POINT (121.10106160000001 14.313775600000001)
7560561079,switch,,,,,POINT (121.1010863 14.3138015)
926033905,subway,,1435,contact_line,1500,"LINESTRING (121.0870961 14.6180961, 121.0866275 14.618762, 121.0864176 14.6190417, 121.0862486 14.6191948)"
669485896,subway,LRT Line 2,1435,contact_line,1500,"LINESTRING (121.0896197 14.619092, 121.0898696 14.6189444, 121.0901317 14.6188269, 121.0904609 14.6187219, 121.0908097 14.6186356, 121.0911959 14.6185893, 121.0915179 14.6185877, 121.0918034 14.6186096, 121.0923882 14.6187134)"
669485895,subway,LRT Line 2,1435,contact_line,1500,"LINESTRING (121.0923741 14.6187608, 121.0917938 14.6186552, 121.0915116 14.6186302, 121.0911896 14.6186318, 121.0908034 14.6186781, 121.0904711 14.6187566, 121.0901491 14.6188645, 121.0898961 14.6189805, 121.0896462 14.6191281)"
926033903,subway,,1435,contact_line,1500,"LINESTRING (121.0869943 14.6178748, 121.0857202 14.6197087, 121.0855257 14.6198839)"
926033906,subway,,1435,contact_line,1500,"LINESTRING (121.0870563 14.6179693, 121.0858449 14.6196919, 121.0856371 14.6198995)"
926033902,subway,,1435,contact_line,1500,"LINESTRING (121.0869388 14.6178628, 121.0855257 14.6198839, 121.0853501 14.6200747)"
926033907,subway,,1435,contact_line,1500,"LINESTRING (121.0870739 14.6180255, 121.0862486 14.6191948, 121.0859442 14.6196296, 121.0858436 14.6197425, 121.0856371 14.6198995, 121.0853781 14.6201083)"
575887547,subway,,1435,contact_line,1500,"LINESTRING (121.0866499 14.6178006, 121.0849865 14.62011, 121.0848033 14.620338)"
6264796047,signal,,,,,POINT (121.0561966 14.608437700000001)
669008928,light_rail,MRT Line 3,1435,contact_line,750,"LINESTRING (121.051319 14.6188974, 121.0523305 14.6167349, 121.0561643 14.6084236)"
669008939,light_rail,MRT Line 3,1435,contact_line,750,"LINESTRING (121.0561966 14.6084377, 121.0523562 14.6167454, 121.0513491 14.6189105)"
575887545,subway,,1435,contact_line,1500,"LINESTRING (121.0841066 14.6211123, 121.0839099 14.6213391)"
729643195,switch,,,,,POINT (121.08390990000001 14.6213391)
5524933326,switch,,,,,POINT (121.08395010000001 14.6213472)
310455018,subway,,1435,contact_line,1500,"LINESTRING (121.0840015 14.6224298, 121.0838678 14.6222121, 121.0838161 14.622069, 121.0837989 14.6219203, 121.0838132 14.621773, 121.0838822 14.6215701, 121.0839994 14.6213596)"
780157094,subway,,1435,contact_line,1500,"LINESTRING (121.0531634 14.6228573, 121.0532639 14.6229052, 121.0541306 14.6233193)"
6228563601,signal,,,,,POINT (121.05413060000001 14.6233193)
669017979,subway,LRT Line 2,1435,contact_line,1500,"LINESTRING (121.0530526 14.6228969, 121.0559156 14.6242638)"
926033904,subway,,1435,contact_line,1500,"LINESTRING (121.086838 14.6178411, 121.0853058 14.6200474, 121.0850215 14.6203108)"
295117112,subway,,1435,contact_line,1500,"LINESTRING (121.0870353 14.6179023, 121.0861687 14.6191844, 121.0857469 14.6197307, 121.0853781 14.6201083, 121.0852092 14.6202666, 121.0850696 14.6203634)"
310455017,subway,,1435,contact_line,1500,"LINESTRING (121.0846218 14.6204898, 121.0866095 14.6177919)"
575887544,subway,,1435,contact_line,1500,"LINESTRING (121.0848038 14.6204696, 121.0851601 14.6200803, 121.0867476 14.6178216)"
30438399,subway,,1435,contact_line,1500,"LINESTRING (121.0866984 14.6178111, 121.0850458 14.6201412, 121.0848506 14.6203571, 121.0847187 14.6204825)"
30438400,subway,,1435,contact_line,1500,"LINESTRING (121.086796 14.6178321, 121.085232 14.6200713, 121.0850215 14.6203108, 121.0848038 14.6204696)"
575887529,subway,,1435,contact_line,1500,"LINESTRING (121.0868897 14.6178522, 121.0853501 14.6200747, 121.0851878 14.6202421, 121.0850696 14.6203634, 121.0849104 14.620482, 121.0848017 14.6205537)"
