osm_id,amenity,building,healthcare,name,geometry
,hospital,,hospital,Mount Samat Medical Center,"POLYGON ((120.539141 14.6441375, 120.5390874 14.6443426, 120.5395514 14.6443426, 120.5396506 14.6441246, 120.5398545 14.6441791, 120.5401307 14.6436315, 120.538972 14.6431955, 120.539141 14.6441375))"
,clinic,yes,,Saint Nicholas Dialysis Center,"POLYGON ((120.5353842 14.6750139, 120.5354038 14.674995, 120.5354485 14.6750301, 120.5354945 14.6750315, 120.5355462 14.6749626, 120.5354066 14.6748505, 120.5353717 14.674891, 120.5353312 14.6749761, 120.5353842 14.6750139))"
,clinic,,,City Health Center-1,"POLYGON ((120.536017 14.6757588, 120.5360495 14.6756265, 120.5359208 14.6755969, 120.5358883 14.6757292, 120.536017 14.6757588))"
,clinic,yes,,Holy Family Clinic,"POLYGON ((120.536327 14.6769238, 120.536386 14.6768112, 120.5362301 14.6767615, 120.5362073 14.6768763, 120.536327 14.6769238))"
,doctors,yes,,Clinica Zabala,"POLYGON ((120.5425427 14.6773073, 120.542599 14.6772268, 120.5424622 14.6771412, 120.5424186 14.67721, 120.5424113 14.6772216, 120.5425427 14.6773073))"
,hospital,,hospital,Balanga Medical Center,"POLYGON ((120.5356005 14.6776686, 120.5356939 14.6775557, 120.5357196 14.6774382, 120.5355165 14.6774157, 120.5354721 14.6775625, 120.5356005 14.6776686))"
,doctors,yes,,Calimbas Clinic,"POLYGON ((120.5392153 14.6786814, 120.5392947 14.6785158, 120.5391987 14.6784727, 120.5391192 14.6786383, 120.5392153 14.6786814))"
,clinic,,clinic,Ilaya Dialysis Center,"POLYGON ((120.5374748 14.6792683, 120.5375674 14.6792411, 120.537558 14.6791978, 120.5376533 14.6791708, 120.5376263 14.6790901, 120.5374651 14.6791308, 120.5374748 14.6792683))"
7640111207,hospital,,hospital,Barangay Ibayo Health Center,POINT (120.53698680000001 14.6804924)
,hospital,yes,hospital,Bataan Saint Joseph Hospital and Medical Center,"POLYGON ((120.5416014 14.6816428, 120.5417311 14.6813803, 120.5416332 14.6813518, 120.5415766 14.681487, 120.5414934 14.6814442, 120.5414386 14.6815641, 120.5416014 14.6816428))"
,hospital,hospital,hospital,Centro Medico De Santisimo Rosario Inc.,"POLYGON ((120.5250383 14.6730044, 120.5251051 14.6727445, 120.5246488 14.6726347, 120.524582 14.6728946, 120.5250383 14.6730044))"
9860754304,doctors,,,Bautista Eye Center,POINT (120.5205734 14.677182100000001)
8344517352,doctors,,,,POINT (120.5305096 14.678415800000002)
