osm_id,power,voltage,utility,name,geometry
2307226339,tower,,,,POINT (120.93866390000001 14.3722521)
12248317385,pole,,,,POINT (120.9386597 14.3722653)
12248317388,pole,,,,POINT (120.9386762 14.3724378)
12248317387,pole,,,,POINT (120.938676 14.3724448)
12248317386,pole,,,,POINT (120.9386767 14.372461300000001)
,generator,,,,"POLYGON ((120.9384176 14.3725942, 120.9384128 14.3724518, 120.9376992 14.3724742, 120.937704 14.3726167, 120.9384176 14.3725942))"
,generator,,,,"POLYGON ((120.9384223 14.3728042, 120.9384181 14.3726661, 120.9375845 14.3726901, 120.9375887 14.3728281, 120.9384223 14.3728042))"
1343341132,minor_line,,,,"LINESTRING (120.9386936 14.3728034, 120.9385189 14.3728051, 120.9385045 14.3728051)"
12520455989,pole,,,,POINT (120.9404846 14.372629400000001)
12520455915,pole,,,,POINT (120.9388969 14.3726997)
12520455916,pole,,,,POINT (120.9388969 14.3727107)
12248326432,pole,,,,POINT (120.9386932 14.37278)
12248326433,pole,,,,POINT (120.93869360000001 14.3728034)
12520455988,pole,,,,POINT (120.94085410000001 14.372803500000002)
12248326434,pole,,,,POINT (120.93869360000001 14.372816100000001)
12520455806,pole,,,,POINT (120.9389041 14.372854100000001)
12229443470,pole,,,,POINT (120.93869860000001 14.372874000000001)
12520455897,pole,,,,POINT (120.9389021 14.372989200000001)
12520455896,pole,,,,POINT (120.93890230000001 14.373003200000001)
12229443468,pole,,,,POINT (120.9387066 14.373067)
2307226340,tower,,,,POINT (120.9387023 14.3730705)
12229443469,pole,,,,POINT (120.93870740000001 14.3730723)
12520455803,pole,,,,POINT (120.93890390000001 14.3732862)
1353133916,minor_line,,,,"LINESTRING (120.9389293 14.3732884, 120.9389039 14.3732862)"
12520455804,pole,,,,POINT (120.93892930000001 14.373288400000002)
12525865831,pole,,,,POINT (120.93890080000001 14.373365100000001)
12229443466,pole,,,,POINT (120.93872300000001 14.373381)
12525383783,pole,,,,POINT (120.93890150000001 14.3733821)
12229443467,pole,,,,POINT (120.9387231 14.373388)
12525865817,pole,,,,POINT (120.9389199 14.373582)
12229443463,pole,,,,POINT (120.93873850000001 14.373756)
12229443464,pole,,,,POINT (120.93873230000001 14.373759900000001)
12229443465,pole,,,,POINT (120.9387391 14.3737639)
12525383784,pole,,,,POINT (120.9389237 14.373772800000001)
12525383780,pole,,,,POINT (120.9389366 14.3739088)
12525383779,pole,,,,POINT (120.93893510000001 14.373916600000001)
12229456899,pole,,,,POINT (120.9387348 14.373929500000001)
12229456915,pole,,,,POINT (120.93874600000001 14.3740521)
5672095946,pole,,,,POINT (120.899296 14.371239300000001)
5672095985,pole,,,,POINT (120.90065580000001 14.371241900000001)
5672095962,pole,,,,POINT (120.89734200000001 14.371256200000001)
4393755400,tower,,,,POINT (120.9002202 14.371271700000001)
5672095940,pole,,,,POINT (120.8996728 14.3712835)
5672095958,pole,,,,POINT (120.89811440000001 14.371328900000002)
5672095951,pole,,,,POINT (120.8985892 14.371370500000001)
5672095947,pole,,,,POINT (120.8990385 14.3714472)
5672095963,pole,,,,POINT (120.8975123 14.371478300000001)
5672095987,pole,,,,POINT (120.90029510000001 14.371487400000001)
5672095941,pole,,,,POINT (120.8995897 14.371522500000001)
5672095986,pole,,,,POINT (120.90048150000001 14.371525100000001)
5672095957,pole,,,,POINT (120.89789850000001 14.371527700000001)
5672095952,pole,,,,POINT (120.89832100000001 14.3716316)
5672095988,pole,,,,POINT (120.90066660000001 14.3716381)
5672095948,pole,,,,POINT (120.89878900000001 14.371679700000001)
5672095942,pole,,,,POINT (120.89938040000001 14.3717278)
4393755401,tower,,,,POINT (120.8997106 14.3717342)
5672095964,pole,,,,POINT (120.89772690000001 14.3717655)
5672095981,pole,,,,POINT (120.90007920000001 14.371811600000001)
5672095953,pole,,,,POINT (120.898097 14.3718278)
5672095949,pole,,,,POINT (120.89857180000001 14.3718915)
5672095989,pole,,,,POINT (120.90064640000001 14.371901900000001)
5672095990,pole,,,,POINT (120.90039300000001 14.371911)
5672095943,pole,,,,POINT (120.8991323 14.371969400000001)
5672095969,pole,,,,POINT (120.8972159 14.3720084)
5672095950,pole,,,,POINT (120.8983786 14.372068200000001)
5672095965,pole,,,,POINT (120.89796220000001 14.3720721)
5672095992,pole,,,,POINT (120.9005633 14.372098000000001)
5672095980,pole,,,,POINT (120.89969490000001 14.372111)
5672095995,pole,,,,POINT (120.8998713 14.372185100000001)
5672095944,pole,,,,POINT (120.8988561 14.372222800000001)
5672095994,pole,,,,POINT (120.900169 14.3722331)
5672095991,pole,,,,POINT (120.90064910000001 14.3722448)
5672095993,pole,,,,POINT (120.90046140000001 14.372285100000001)
4393755402,tower,,,,POINT (120.8991017 14.372305800000001)
5672095979,pole,,,,POINT (120.89938980000001 14.372409800000002)
5672095968,pole,,,,POINT (120.8974493 14.372439700000001)
5672095998,pole,,,,POINT (120.89963660000001 14.3724956)
5672095945,pole,,,,POINT (120.8985677 14.372500800000001)
5672095966,pole,,,,POINT (120.89839070000001 14.3725196)
5672095997,pole,,,,POINT (120.9000108 14.372559200000001)
5672095976,pole,,,,POINT (120.8971542 14.3725748)
5672095984,pole,,,,POINT (120.9005834 14.3726125)
5672095996,pole,,,,POINT (120.90031250000001 14.372619)
5672095972,pole,,,,POINT (120.89778860000001 14.3726956)
5672095978,pole,,,,POINT (120.89903310000001 14.3727385)
5672095975,pole,,,,POINT (120.89724670000001 14.372751500000001)
5672095999,pole,,,,POINT (120.8994006 14.3728139)
5672096000,pole,,,,POINT (120.8997935 14.372886600000001)
9823984995,pole,,,,POINT (120.89522330000001 14.3705154)
1010216805,line,115000,,,"LINESTRING (120.8951892 14.370534, 120.8951065 14.3705129)"
9320972233,pole,,,,POINT (120.89475030000001 14.3705423)
1010216811,portal,,,,"LINESTRING (120.8950719 14.370626, 120.8950787 14.3706037, 120.895086 14.3705801, 120.8950988 14.3705382, 120.8951065 14.3705129, 120.895115 14.3704851)"
1010216810,portal,,,,"LINESTRING (120.8951545 14.3706472, 120.8951613 14.3706249, 120.8951686 14.3706013, 120.8951814 14.3705594, 120.8951892 14.370534, 120.8951977 14.3705063)"
1010216807,line,115000,,,"LINESTRING (120.8951686 14.3706013, 120.895086 14.3705801)"
1010216808,line,115000,,,"LINESTRING (120.8951613 14.3706249, 120.8950787 14.3706037)"
13525807,substation,115000;34500,,Lancaster Substation,"POLYGON ((120.8958654 14.3705638, 120.8954322 14.3704377, 120.8954081 14.3704066, 120.8954135 14.3703858, 120.8952901 14.3703468, 120.8952431 14.3704728, 120.8948649 14.3703572, 120.8947021 14.3706693, 120.8954995 14.3712043, 120.8958167 14.3706495, 120.8958654 14.3705638))"
4393755406,tower,,,,POINT (120.8965831 14.374675400000001)
4393755407,tower,,,,POINT (120.89596350000001 14.3752314)
5672095970,pole,,,,POINT (120.8979616 14.372898300000001)
4393755403,tower,,,,POINT (120.8984741 14.3729008)
5672096001,pole,,,,POINT (120.90008850000001 14.3729399)
5672095983,pole,,,,POINT (120.90055930000001 14.3729659)
5672096002,pole,,,,POINT (120.90037290000001 14.372989200000001)
5672095977,pole,,,,POINT (120.8987407 14.372999600000002)
5672095974,pole,,,,POINT (120.89719710000001 14.373012600000001)
5672096007,pole,,,,POINT (120.8989392 14.373090600000001)
5672095971,pole,,,,POINT (120.8978838 14.373136)
5672096006,pole,,,,POINT (120.89926380000001 14.3731503)
5672096005,pole,,,,POINT (120.8996326 14.373214)
5672095967,pole,,,,POINT (120.89750020000001 14.3732699)
5672096004,pole,,,,POINT (120.90000140000001 14.373284100000001)
5672095973,pole,,,,POINT (120.897692 14.373310100000001)
5672096003,pole,,,,POINT (120.90030180000001 14.3733348)
5672095982,pole,,,,POINT (120.9004936 14.373338700000001)
5672096017,pole,,,,POINT (120.89831160000001 14.3734186)
4393755404,tower,,,,POINT (120.89785990000001 14.373477600000001)
5672096016,pole,,,,POINT (120.89869920000001 14.373554400000002)
5672096012,pole,,,,POINT (120.8993107 14.373644)
5672096018,pole,,,,POINT (120.89806420000001 14.373648500000002)
5672096020,pole,,,,POINT (120.8986375 14.3737934)
5672096019,pole,,,,POINT (120.8981057 14.3738051)
5672096013,pole,,,,POINT (120.8995306 14.373890800000002)
5672096821,pole,,,,POINT (120.8992678 14.373899900000001)
5672096014,pole,,,,POINT (120.8998217 14.3739415)
5672096015,pole,,,,POINT (120.90012340000001 14.374001300000002)
4393755405,tower,,,,POINT (120.89721080000001 14.3740804)
5672096822,pole,,,,POINT (120.9003742 14.374113000000001)
5672096825,pole,,,,POINT (120.8992048 14.374265000000001)
5672096826,pole,,,,POINT (120.89954410000001 14.374276700000001)
5672096834,pole,,,,POINT (120.8982794 14.3743247)
5672096827,pole,,,,POINT (120.90001480000001 14.374365000000001)
5672096832,pole,,,,POINT (120.89864150000001 14.3744469)
5672096823,pole,,,,POINT (120.90031920000001 14.3744793)
5672096831,pole,,,,POINT (120.8989231 14.3745066)
5672096830,pole,,,,POINT (120.89914710000001 14.374556)
5672096829,pole,,,,POINT (120.89945960000001 14.3746053)
5672096833,pole,,,,POINT (120.89805410000001 14.374682000000002)
5672096824,pole,,,,POINT (120.90025080000001 14.374728800000002)
12229456916,pole,,,,POINT (120.9387492 14.3740535)
12229456917,pole,,,,POINT (120.9387509 14.374056600000001)
2307226341,tower,,,,POINT (120.9387461 14.374056800000002)
12525383781,pole,,,,POINT (120.93894470000001 14.374335)
12525383782,pole,,,,POINT (120.93894370000001 14.374350600000001)
12228089691,pole,,,,POINT (120.9387774 14.374356800000001)
12229456913,pole,,,,POINT (120.9387813 14.374361100000002)
12229456914,pole,,,,POINT (120.93877560000001 14.374442400000001)
12525865732,pole,,,,POINT (120.9389563 14.374585000000002)
12525865734,pole,,,,POINT (120.93895660000001 14.374590900000001)
12525865733,pole,,,,POINT (120.93895690000001 14.3745969)
12214666013,pole,,,,POINT (120.9387856 14.374752500000001)
12214666018,pole,,,,POINT (120.93878900000001 14.3747562)
12525865724,pole,,,,POINT (120.9389658 14.374764800000001)
12525865725,pole,,,,POINT (120.9389685 14.374791100000001)
12193580320,pole,,,,POINT (120.9387231 14.3748597)
1317480910,minor_line,,,,"LINESTRING (120.9387754 14.3749324, 120.9387231 14.3748597)"
12193580318,pole,,,,POINT (120.93880290000001 14.374928200000001)
12193580319,pole,,,,POINT (120.9387968 14.3749303)
12193580322,pole,,,,POINT (120.93877540000001 14.3749324)
