longitude_latitude,return_level_10years,return_level_25years,return_level_50years,return_level_100years,return_level_250years,return_level_500years,return_level_1000years
119.35054594053895_10.350047343817161,215.4958054186472,239.42108529605747,243.58077393301357,244.79972942099562,245.2052631008115,245.2757698555277,245.29643116052
122.05055829109995_12.250056034952678,305.8853892857228,328.78990900771976,346.1165093051048,363.4431096024898,386.3476293244868,403.6742296218718,421.00082991925683
120.85055280196173_13.05005969437816,247.69726809884577,266.72602413256493,271.76688755755947,273.8509905894665,274.86295708255386,275.13103476841434,275.24186925663287
126.35057796051191_7.150032706115237,179.498123578456,199.55831459606247,203.66453068760592,205.0387497585988,205.56736237201812,205.67556660683871,205.7117791002238
122.95056240795361_9.450043226963494,177.70343540721788,204.2640449259851,224.3563703871747,244.44869584836425,271.00930536713145,291.10163082832105,311.19395628951065
125.85057567337098_7.6500349932561615,157.4150284634688,206.69735825332532,243.97800156551375,281.2586448777021,330.54097466755866,367.8216179797471,405.1022612919355
123.25056378023817_10.15004642896079,230.32763165063568,283.4365890032797,295.9547604550055,300.6566182044993,302.7098913714193,303.1938629427319,303.3756439234355
121.95055783367177_17.250078906361935,330.86402142827717,369.0818646424535,377.6761916310115,380.7822022898951,382.08220508672866,382.3745462599188,382.4801990703329
124.25056835452001_6.850031333830682,89.23682229825724,94.3422812267597,94.89947827316196,95.01169707325286,95.03659490731607,95.03931219479134,95.03985945314804
125.85057567337098_8.450038652681643,203.96816458436922,244.20663031336156,274.64585456815803,305.08507882295453,345.3235445519469,375.7627688067434,406.2019930615399
123.15056332280999_10.550048258673531,210.10283161405997,223.51953988388283,225.3038313991746,225.72492176811954,225.83571071153472,225.85044456187626,225.85392173050212
124.65057018423276_12.150055577524494,305.09077695135636,326.54306644350225,342.7710969809528,358.9991275184033,380.4514170105492,396.67944754799976,412.9074780854503
124.75057064166094_9.150041854678939,232.35818220068182,252.70540509715926,257.35661958911214,259.06028532666875,259.7839543363225,259.9493793578207,260.0099719066591
121.25055463167446_18.450084395500156,334.07654255461017,398.3816419650896,447.0265717908368,495.6715016165839,559.9766010270633,608.6215308528106,657.2664606785577
120.75055234453355_15.850072502367343,381.61985078585406,458.5098333308513,516.6748597361254,574.8398861413995,651.7298686863967,709.8948950916708,768.059921496945
126.25057750308372_7.150032706115237,154.57153104417438,184.474861682501,207.09585805437595,229.7168544262509,259.6201850645775,282.24118143645245,304.86217780832743
125.35057338623005_11.650053290383568,420.7947118441963,472.4028759390182,482.16515719466065,485.22881037138654,486.32719153846233,486.5349630425832,486.6001670468486
124.95057155651732_12.050055120096307,334.6246681020409,349.8580881738427,352.9217750880918,353.9324483693138,354.3151367188006,354.39210152926546,354.41749128993894
124.75057064166094_11.950054662668123,334.7691444491107,350.85552800607655,355.0756543106054,356.8064998582214,357.6395079741815,357.8580405890232,357.94766970818046
120.9505532593899_17.850081650931045,491.6900441261213,558.5738174141711,571.8753078388997,576.2233981725109,577.8533946902098,578.1775597605496,578.2835252549289
125.7505752159428_8.350038195253457,229.3136569080442,259.2944444039005,266.9855822980598,270.082461438916,271.54282523761515,271.91746047202935,272.06830941777093
125.65057475851461_7.6500349932561615,202.52231718769298,234.88310168301064,241.3312393871048,243.442363492243,244.23513471906352,244.39310054461765,244.4448186495061
118.35054136625709_9.450043226963494,155.97130937762444,181.2838763858441,188.80748272052233,192.22814910029655,194.07396860485488,194.6225980391062,194.87203669620976
120.65055188710535_18.050082565787417,615.6887653468693,634.7148719951108,634.8372008013166,634.839921726848,634.83998322004,634.8399836154119,634.8399836242061
124.85057109908912_7.450034078399792,112.27426577731592,135.55841361682752,142.40141345699695,145.48371492340218,147.12975121737117,147.6135063530188,147.83140481843085
120.55055142967717_15.950072959795527,378.9227979486302,492.4072348009327,578.2548972352288,664.1025596695249,777.5869965218274,863.4346589561236,949.2823213904197
122.3505596633845_16.75007661922101,307.9516878944669,353.50535536085647,387.9653745121032,422.42539366334995,467.97906112973953,502.4390802809863,536.899099432233
121.0505537168181_13.05005969437816,234.29594722839582,242.5804700210693,243.8969817111373,244.25567120892055,244.36591511055727,244.38343421079946,244.38820736801097
123.45056469509454_8.550039110109829,191.0541309597403,205.90085308033312,208.42239286578808,209.14740598503704,209.3836738178809,209.42380110898932,209.43533882600707
