,value,region_id,impf_,geometry
360,432024.42843337276,40,1,POINT (15.48333333 48.65)
361,503392.6659453893,40,1,POINT (15.51666667 48.65)
362,737736.1701364854,40,1,POINT (15.55 48.65)
363,1658736.1226203109,40,1,POINT (15.58333333 48.65)
364,12829014.198735606,40,1,POINT (15.61666667 48.65)
365,158275492.3678964,40,1,POINT (15.65 48.65)
366,30157444.89003249,40,1,POINT (15.68333333 48.65)
367,2635471.0219482332,40,1,POINT (15.71666667 48.65)
368,1611480.1391075866,40,1,POINT (15.75 48.65)
369,11835317.301241655,40,1,POINT (15.78333333 48.65)
370,133532003.30320379,40,1,POINT (15.81666667 48.65)
371,19692661.151940364,40,1,POINT (15.85 48.65)
372,3848038.722647987,40,1,POINT (15.88333333 48.65)
373,1267304.7543824525,40,1,POINT (15.91666667 48.65)
374,1078840.1063576648,40,1,POINT (15.95 48.65)
375,1166976.947167962,40,1,POINT (15.98333333 48.65)
376,1149076.8930824827,40,1,POINT (16.01666667 48.65)
377,1322685.8241107129,40,1,POINT (16.05 48.65)
378,2154342.094477835,40,1,POINT (16.08333333 48.65)
379,1855405.0262320177,40,1,POINT (16.11666667 48.65)
380,1002090.2869893202,40,1,POINT (16.15 48.65)
381,899770.475087809,40,1,POINT (16.18333333 48.65)
382,801926.5467850411,40,1,POINT (16.21666667 48.65)
383,883885.5593491589,40,1,POINT (16.25 48.65)
384,1043854.2809921458,40,1,POINT (16.28333333 48.65)
385,1060138.696082148,40,1,POINT (16.31666667 48.65)
386,1299058.708102774,40,1,POINT (16.35 48.65)
387,1429470.7377354547,40,1,POINT (16.38333333 48.65)
388,1135480.4592124533,40,1,POINT (16.41666667 48.65)
389,1071336.7780976018,40,1,POINT (16.45 48.65)
390,5839783.455958559,40,1,POINT (16.48333333 48.65)
391,3176763.135216401,40,1,POINT (16.51666667 48.65)
392,2276036.2906454783,40,1,POINT (16.55 48.65)
393,3571478.0204947484,40,1,POINT (16.58333333 48.65)
394,18440056.140413318,40,1,POINT (16.61666667 48.65)
395,9606613.396094767,40,1,POINT (16.65 48.65)
396,2029631.5349670476,40,1,POINT (16.68333333 48.65)
397,4248155.444989574,40,1,POINT (16.71666667 48.65)
398,2202958.5610576277,40,1,POINT (16.75 48.65)
399,3804585.0171592934,40,1,POINT (16.78333333 48.65)
400,3882687.9366344716,40,1,POINT (16.81666667 48.65)
401,3989846.2480500406,40,1,POINT (16.85 48.65)
402,5639619.93636662,40,1,POINT (16.88333333 48.65)
403,1588955.0691551517,40,1,POINT (13.81666667 48.61666667)
404,1964764.3579835743,40,1,POINT (13.85 48.61666667)
405,1802700.184509646,40,1,POINT (13.88333333 48.61666667)
406,1753336.0019842025,40,1,POINT (13.91666667 48.61666667)
407,6384582.979033308,40,1,POINT (13.95 48.61666667)
408,7742556.154878019,40,1,POINT (13.98333333 48.61666667)
409,1447415.8858951605,40,1,POINT (14.01666667 48.61666667)
410,2344346.3631402613,40,1,POINT (14.45 48.61666667)
411,1024193.7564168812,40,1,POINT (14.48333333 48.61666667)
412,435961.4898766888,40,1,POINT (14.58333333 48.61666667)
413,239857.4637895515,40,1,POINT (14.71666667 48.61666667)
414,409797.6211024904,40,1,POINT (14.75 48.61666667)
415,414070.18931643246,40,1,POINT (14.78333333 48.61666667)
416,449384.20798157004,40,1,POINT (14.81666667 48.61666667)
417,514040.2706811991,40,1,POINT (14.85 48.61666667)
418,737786.1441186754,40,1,POINT (14.88333333 48.61666667)
419,907227.1328216586,40,1,POINT (14.91666667 48.61666667)
420,1013142.0393063413,40,1,POINT (14.95 48.61666667)
421,1064221.6641361113,40,1,POINT (14.98333333 48.61666667)
422,1129149.1199730465,40,1,POINT (15.01666667 48.61666667)
423,1154115.8610252938,40,1,POINT (15.05 48.61666667)
424,1637685.8284876447,40,1,POINT (15.08333333 48.61666667)
425,7105405.726607277,40,1,POINT (15.11666667 48.61666667)
426,40472640.86642745,40,1,POINT (15.15 48.61666667)
427,49356851.799374536,40,1,POINT (15.18333333 48.61666667)
428,5787842.679668247,40,1,POINT (15.21666667 48.61666667)
429,1383904.7646457753,40,1,POINT (15.25 48.61666667)
